year,state,name,lat,lon,duration_minutes,POPULATI_1,SQMI,POP20_SQMI,fips_city,closest_city,closest_distance,second_closest_city,second_closest_distance
2023,NM,BLUEWATER VILLAGE,35.246698,-107.969468,3.216666666666667,464,3.56,130.3,3508190,GOLDEN ACRES,6.093529255047981,BROADVIEW,8.797916653741016
2023,NM,BORREGO PASS,35.566444,-108.016484,4.116666666666666,117,13.23,8.8,3508493,RED ROCK RANCH,15.845079898323437,CROWNPOINT,22.496065541257845
2023,NM,BOSQUE FARMS,34.853577,-106.701049,4.366666666666666,4020,3.94,1020.2999999999901,3508580,PERALTA,3.125774461423572,CHICAL,3.382750671466309
2023,NM,BRIMHALL NIZHONI,35.791711,-108.62968,3.7,286,16.3099999999999,17.5,3509035,TOHATCHI,12.404372801532801,NAKAIBITO,15.747938783209623
2023,NM,BROADVIEW,35.225717,-107.876066,3.3666666666666667,339,3.75,90.4,3509202,MILAN,3.5420517628376658,GOLDEN ACRES,4.165323667139278
2023,NM,CAÑADA DE LOS ALAMOS,35.592655,-105.859754,2.7333333333333334,421,3.68,114.4,3510470,SANTA FE FOOTHILLS,5.235401445621773,SUNLIT HILLS,5.5475064709803235
2023,NM,CAÑON,35.671759,-106.752682,4.4,317,16.1099999999999,19.6999999999999,3510770,JEMEZ PUEBLO,7.478839979813791,PONDEROSA,9.056010396606398
2023,NM,CAÑONCITO,35.535238,-105.838875,2.9,1003,9.91,101.2,3511256,VALENCIA,6.4441859374176085,CAÑADA DE LOS ALAMOS,6.657960089855093
2023,NM,CAÑONES,36.176434,-106.419355,0.4166666666666667,85,4.14,20.5,3511310,YOUNGSVILLE,13.404088462893371,COYOTE,17.134874878160954
2023,NM,CAPITAN,33.539248,-105.598242,2.7,1391,3.26,426.69999999999897,3511800,NOGAL,10.532314634864866,RUIDOSO DOWNS,23.136433226523593
2023,NM,CARLSBAD,32.40079,-104.241012,1.1166666666666667,32238,31.7899999999999,1014.1,3512150,LIVINGSTON WHEELER,3.725995725547958,HAPPY VALLEY,5.488801785646796
2023,NM,CARNUEL,35.061172,-106.457172,4.75,1019,5.35,190.5,3512430,TIJERAS,7.754127631687758,CEDAR CREST,9.200922664191452
2023,NM,CARRIZOZO,33.643341,-105.841132,2.183333333333333,972,8.35999999999999,116.299999999999,3512500,NOGAL,16.73229934426442,CAPITAN,25.300781834240986
2023,NM,CASA COLORADA,34.550932,-106.73987,3.6666666666666665,279,5.53,50.5,3512786,MADRONE,3.3133094566397117,VEGUITA,4.779507797609393
2023,NM,CATALPA CANYON,35.494211,-108.720568,1.8166666666666667,161,7.04,22.8999999999999,3512844,GALLUP,3.0197523733227745,SUNDANCE,7.5427293712834045
2023,NM,CAUSEY,33.866663,-103.125226,1,68,3.75,18.1,3512850,DORA,20.760608842483155,BLEDSOE,29.353560376199777
2023,NM,CEDAR CREST,35.114724,-106.380083,4.716666666666667,933,3.13,298.1,3513200,TIJERAS,3.18268211515163,SAN ANTONITO,5.604950543909085
2023,NM,CEDAR GROVE,35.177201,-106.166914,4.533333333333333,549,12.7799999999999,43,3513270,SAN PEDRO,5.874609656147888,EDGEWOOD,7.032994906402618
2023,NM,CEDAR HILL,36.946037,-107.883474,2.5833333333333335,1130,9.69999999999999,116.5,3513340,CENTER POINT,10.51230511088158,NORTH LIGHT PLANT,15.948826989358592
2023,NM,CEDRO,35.018055,-106.35083,4.733333333333333,416,5.39,77.2,3513450,PONDEROSA PINE,5.342308905146003,TIJERAS,7.957423054922743
2023,NM,CENTER POINT,36.870997,-107.95539,3.15,2435,9.59,253.9,3513540,AZTEC,6.26898290434867,NORTH LIGHT PLANT,6.9310775686722845
2023,NM,CHAMIZAL,34.218262,-106.915108,0.5,51,0.44,115.9,3514200,POLVADERA,1.814166077204264,ALAMILLO,3.739031699225257
2023,NM,CHICAL,34.865786,-106.667091,4.433333333333334,124,0.81,153.099999999999,3514670,BOSQUE FARMS,3.382750671466309,PERALTA,4.505909225261387
2023,NM,CHILILI,34.897374,-106.233133,4.75,126,0.99,127.299999999999,3514880,MANZANO SPRINGS,7.114846444215413,PONDEROSA PINE,12.690964301930071
2023,NM,CHUPADERO,35.8144,-105.919743,0.95,349,1.81,192.8,3515300,RIO EN MEDIO,1.907510761109936,ENCANTADO,2.464290751675063
2023,NM,CHURCH ROCK,35.569203,-108.573042,2.95,1542,18.34,84.09999999999991,3515370,WHITE CLIFFS,8.556215665281593,SUNDANCE,8.883751980818783
2023,NM,COCHITI,35.610354,-106.350143,3.9,479,0.78,614.1,3516560,COCHITI LAKE,4.224016206929723,PEÑA BLANCA,4.683248489193354
2023,NM,COCHITI LAKE,35.647835,-106.342537,3.783333333333333,438,1.24,353.19999999999897,3516585,COCHITI,4.224016206929723,PEÑA BLANCA,8.606017026010507
2023,NM,CONEJO,35.62871,-105.942334,2.816666666666667,440,1.9,231.599999999999,3517295,ARROYO HONDO,2.0618047012875436,SETON VILLAGE,3.3104936312404947
2023,NM,CONTINENTAL DIVIDE,35.432904,-108.33582,3,187,2.43,77,3517330,JAMESTOWN,10.230657161095698,THOREAU,12.341650227384276
2023,NM,CORONA,34.250106,-105.596979,4.616666666666666,129,1.03,125.2,3517680,DURAN,30.948024767202682,ENCINO,46.43718036431253
2023,NM,CORRALES,35.239575,-106.627061,4.716666666666667,8493,10.9499999999999,775.6,3517960,EDITH ENCLAVE,4.895042368635871,PUEBLO OF SANDIA VILLAGE,5.36582160790945
2023,NM,COYOTE,36.150899,-106.607588,2.433333333333333,110,4.16,26.3999999999999,3518660,YOUNGSVILLE,6.111405055478601,CAÑONES,17.134874878160954
2023,NM,CRESTVIEW,35.487784,-108.857396,0.5,279,1.3,214.599999999999,3518770,WILLIAMS ACRES,1.5277584245365492,PURTY ROCK,3.444865986414409
2023,NM,CROUCH MESA,36.74804,-108.085278,3.85,5257,20.67,254.3,3518905,SOUTH RIVER,4.879173001761468,LEE ACRES,5.255721220455103
2023,NM,CROWNPOINT,35.734328,-108.155415,4.233333333333333,2900,67.51,43,3518940,BECENTI,8.77887188360973,BORREGO PASS,22.496065541257845
2023,NM,CRYSTAL,36.030009,-108.989215,3.7666666666666666,302,4.57,66.09999999999991,3519080,NAVAJO,14.701297147808845,SAWMILL,22.055474006249398
2023,NM,CUBA,36.014583,-106.968011,3.9166666666666665,628,3.26,192.599999999999,3519150,LA JARA,10.378061818568165,REGINA,20.14523372757291
2023,NM,CUBERO,35.090454,-107.5261,3.716666666666667,281,9.57,29.3999999999999,3519220,NORTH ACOMITA VILLAGE,4.3653887284927535,SEAMA,4.577124003765004
2023,NM,CUYAMUNGUE,35.864784,-106.009623,1.1166666666666667,534,1.17,456.39999999999895,3519640,CUYAMUNGUE GRANT,2.4363230764708024,POJOAQUE,3.493920291928604
2023,NM,CUYAMUNGUE GRANT,35.846423,-105.994872,1.2833333333333334,184,2.55,72.2,3519645,CUYAMUNGUE,2.4363230764708024,TESUQUE PUEBLO,4.520732247713865
2023,NM,DEER CANYON,34.423568,-106.284041,4.133333333333334,74,8,9.3,3520015,MOUNTAINAIR,11.603280453274358,PUNTA DE AGUA,19.808750272923852
2023,NM,DEXTER,33.194827,-104.368898,4.366666666666666,1074,0.79,1359.5,3520620,HAGERMAN,9.434120597388057,MIDWAY,13.72083450035956
2023,NM,DORA,33.925866,-103.33855,1.6166666666666667,117,2.64,44.299999999999905,3521180,CAUSEY,20.760608842483155,ELIDA,29.11424639461807
